search_term,wikipage,type
B1F0CC82E34E4541,Black-capped Chickadee,spp
ELEMENT_GLOBAL.2.102546,Black-capped Petrel,spp
Pterodroma hasitata,Black-capped Petrel,spp
Pterodroma hasitata,Black-capped Petrel,spp
Black-capped Petrel,Black-capped Petrel,spp
A01D9D21E8DB7F7F,Black-capped Petrel,spp
ELEMENT_GLOBAL.2.104387,Black-chinned Hummingbird,spp
Archilochus alexandri,Black-chinned Hummingbird,spp
Archilochus alexandri,Black-chinned Hummingbird,spp
Black-chinned Hummingbird,Black-chinned Hummingbird,spp
4BB4F25726A8B123,Black-chinned Hummingbird,spp
ELEMENT_GLOBAL.2.104974,Black-crowned Night-Heron,spp
Nycticorax nycticorax,Black-crowned Night-Heron,spp
Nycticorax nycticorax,Black-crowned Night-Heron,spp
Black-crowned Night-Heron,Black-crowned Night-Heron,spp
6BB94D7EA4D041A8,Black-crowned Night-Heron,spp
Pheucticus melanocephalus,Black-headed Grosbeak,spp
Pheucticus melanocephalus,Black-headed Grosbeak,spp
Black-headed Grosbeak,Black-headed Grosbeak,spp
824361E5ACCA64DB,Black-headed Grosbeak,spp
ELEMENT_GLOBAL.2.103889,Black-headed Gull,spp
Chroicocephalus ridibundus,Black-headed Gull,spp
Chroicocephalus ridibundus,Black-headed Gull,spp
Black-headed Gull,Black-headed Gull,spp
FB02DD9658CC1EC6,Black-headed Gull,spp
ELEMENT_GLOBAL.2.104258,Black-legged Kittiwake,spp
Rissa tridactyla,Black-legged Kittiwake,spp
Rissa tridactyla,Black-legged Kittiwake,spp
Black-legged Kittiwake,Black-legged Kittiwake,spp
FB4D08F0837D4683,Black-legged Kittiwake,spp
ELEMENT_GLOBAL.2.105198,Black-necked Stilt,spp
Himantopus mexicanus,Black-necked Stilt,spp
Himantopus mexicanus,Black-necked Stilt,spp
Black-necked Stilt,Black-necked Stilt,spp
62DAF6CC29ADBF9A,Black-necked Stilt,spp
ELEMENT_GLOBAL.2.103335,Blackpoll Warbler,spp
Setophaga striata,Blackpoll Warbler,spp
Setophaga striata,Blackpoll Warbler,spp
Blackpoll Warbler,Blackpoll Warbler,spp
544A5E6BC69CEAAC,Blackpoll Warbler,spp
Limosa limosa,Black-tailed Godwit,spp
Black-tailed Godwit,Black-tailed Godwit,spp
454B5CD5F5285B77,Black-tailed Godwit,spp
ELEMENT_GLOBAL.2.103528,Black-throated Blue Warbler,spp
Setophaga caerulescens,Black-throated Blue Warbler,spp
Setophaga caerulescens,Black-throated Blue Warbler,spp
Black-throated Blue Warbler,Black-throated Blue Warbler,spp
67B455A71B1C2506,Black-throated Blue Warbler,spp
Setophaga nigrescens,Black-throated Gray Warbler,spp
Setophaga nigrescens,Black-throated Gray Warbler,spp
Black-throated Gray Warbler,Black-throated Gray Warbler,spp
6B7A93C56A110723,Black-throated Gray Warbler,spp
ELEMENT_GLOBAL.2.100065,Black-throated Green Warbler,spp
Setophaga virens,Black-throated Green Warbler,spp
Setophaga virens,Black-throated Green Warbler,spp
Black-throated Green Warbler,Black-throated Green Warbler,spp
9FFEDE99DC82DD92,Black-throated Green Warbler,spp
Vireo altiloquus,Black-whiskered Vireo,spp
Vireo altiloquus,Black-whiskered Vireo,spp
Black-whiskered Vireo,Black-whiskered Vireo,spp
F57ECDC524C8B011,Black-whiskered Vireo,spp
ELEMENT_GLOBAL.2.103868,Blue Grosbeak,spp
Passerina caerulea,Blue Grosbeak,spp
Passerina caerulea,Blue Grosbeak,spp
Blue Grosbeak,Blue Grosbeak,spp
A7A75EA1A9A57185,Blue Grosbeak,spp
ELEMENT_GLOBAL.2.101039,Blue Jay,spp
Cyanocitta cristata,Blue Jay,spp
Cyanocitta cristata,Blue Jay,spp
Blue Jay,Blue Jay,spp
1DA430B8663CD4BE,Blue Jay,spp
ELEMENT_GLOBAL.2.105237,Blue-gray Gnatcatcher,spp
Polioptila caerulea,Blue-gray Gnatcatcher,spp
Polioptila caerulea,Blue-gray Gnatcatcher,spp
Blue-gray Gnatcatcher,Blue-gray Gnatcatcher,spp
A15C5071DDEDC552,Blue-gray Gnatcatcher,spp
ELEMENT_GLOBAL.2.104986,Blue-headed Vireo,spp
Vireo solitarius,Blue-headed Vireo,spp
Vireo solitarius,Blue-headed Vireo,spp
Blue-headed Vireo,Blue-headed Vireo,spp
95DB0943652956D1,Blue-headed Vireo,spp
ELEMENT_GLOBAL.2.106246,Blue-winged Teal,spp
Spatula discors,Blue-winged Teal,spp
Spatula discors,Blue-winged Teal,spp
Blue-winged Teal,Blue-winged Teal,spp
90E2543E9A4ABA0A,Blue-winged Teal,spp
ELEMENT_GLOBAL.2.105701,Blue-winged Warbler,spp
Vermivora cyanoptera,Blue-winged Warbler,spp
Vermivora cyanoptera,Blue-winged Warbler,spp
Blue-winged Warbler,Blue-winged Warbler,spp
B617FE7DF96090DD,Blue-winged Warbler,spp
ELEMENT_GLOBAL.2.103534,Boat-tailed Grackle,spp
Quiscalus major,Boat-tailed Grackle,spp
Quiscalus major,Boat-tailed Grackle,spp
Boat-tailed Grackle,Boat-tailed Grackle,spp
EF47E15D002D3191,Boat-tailed Grackle,spp
ELEMENT_GLOBAL.2.102736,Bobolink,spp
Dolichonyx oryzivorus,Bobolink,spp
Dolichonyx oryzivorus,Bobolink,spp
Bobolink,Bobolink,spp
F845062FC976B85B,Bobolink,spp
ELEMENT_GLOBAL.2.106311,Bonaparte's Gull,spp
Chroicocephalus philadelphia,Bonaparte's Gull,spp
Chroicocephalus philadelphia,Bonaparte's Gull,spp
Bonaparte's Gull,Bonaparte's Gull,spp
0337440E2A88E638,Bonaparte's Gull,spp
Fringilla montifringilla,Brambling,spp
Brambling,Brambling,spp
E16B2C0328E05DC5,Brambling,spp
ELEMENT_GLOBAL.2.103759,Brant,spp
Branta bernicla,Brant,spp
Branta bernicla,Brant,spp
Brant,Brant,spp
3E04020B54C14FCC,Brant,spp
ELEMENT_GLOBAL.2.101341,Brewer's Blackbird,spp
Euphagus cyanocephalus,Brewer's Blackbird,spp
Euphagus cyanocephalus,Brewer's Blackbird,spp
Brewer's Blackbird,Brewer's Blackbird,spp
EA5E858AEF777A34,Brewer's Blackbird,spp
ELEMENT_GLOBAL.2.103278,Bridled Tern,spp
Onychoprion anaethetus,Bridled Tern,spp
Onychoprion anaethetus,Bridled Tern,spp
Bridled Tern,Bridled Tern,spp
E6518B9D5C802F2A,Bridled Tern,spp
Cynanthus latirostris,Broad-billed Hummingbird,spp
Cynanthus latirostris,Broad-billed Hummingbird,spp
Broad-billed Hummingbird,Broad-billed Hummingbird,spp
760F8CC4C6969F16,Broad-billed Hummingbird,spp
Selasphorus platycercus,Broad-tailed Hummingbird,spp
Selasphorus platycercus,Broad-tailed Hummingbird,spp
Broad-tailed Hummingbird,Broad-tailed Hummingbird,spp
AFBD5A5FD37E35A8,Broad-tailed Hummingbird,spp
ELEMENT_GLOBAL.2.100789,Broad-winged Hawk,spp
Buteo platypterus,Broad-winged Hawk,spp
Buteo platypterus,Broad-winged Hawk,spp
Broad-winged Hawk,Broad-winged Hawk,spp
79F3C681417F2056,Broad-winged Hawk,spp
Sula leucogaster,Brown Booby,spp
Sula leucogaster,Brown Booby,spp
Brown Booby,Brown Booby,spp
5EC21767FC58DB7D,Brown Booby,spp
ELEMENT_GLOBAL.2.102429,Brown Creeper,spp
Certhia americana,Brown Creeper,spp
Certhia americana,Brown Creeper,spp
Brown Creeper,Brown Creeper,spp
BAC33609C5F48A91,Brown Creeper,spp
ELEMENT_GLOBAL.2.103269,Brown Noddy,spp
Anous stolidus,Brown Noddy,spp
Anous stolidus,Brown Noddy,spp
Brown Noddy,Brown Noddy,spp
A070171E774B95B5,Brown Noddy,spp
ELEMENT_GLOBAL.2.817986,Brown Pelican,spp
Pelecanus occidentalis,Brown Pelican,spp
Pelecanus occidentalis,Brown Pelican,spp
Brown Pelican,Brown Pelican,spp
F59AB6B357BF97D8,Brown Pelican,spp
ELEMENT_GLOBAL.2.103922,Brown Thrasher,spp
Toxostoma rufum,Brown Thrasher,spp
Toxostoma rufum,Brown Thrasher,spp
Brown Thrasher,Brown Thrasher,spp
C8F9F2D013E9D057,Brown Thrasher,spp
ELEMENT_GLOBAL.2.102638,Brown-headed Cowbird,spp
Molothrus ater,Brown-headed Cowbird,spp
Molothrus ater,Brown-headed Cowbird,spp
Brown-headed Cowbird,Brown-headed Cowbird,spp
1E1AB415D083AAD4,Brown-headed Cowbird,spp
ELEMENT_GLOBAL.2.104638,Brown-headed Nuthatch,spp
Sitta pusilla,Brown-headed Nuthatch,spp
Sitta pusilla,Brown-headed Nuthatch,spp
Brown-headed Nuthatch,Brown-headed Nuthatch,spp
85729C75FED7B59E,Brown-headed Nuthatch,spp
Amazilia yucatanensis,Buff-bellied Hummingbird,spp
Amazilia yucatanensis,Buff-bellied Hummingbird,spp
Buff-bellied Hummingbird,Buff-bellied Hummingbird,spp
76D9954BE4F32674,Buff-bellied Hummingbird,spp
ELEMENT_GLOBAL.2.103684,Buff-breasted Sandpiper,spp
Calidris subruficollis,Buff-breasted Sandpiper,spp
Calidris subruficollis,Buff-breasted Sandpiper,spp
Buff-breasted Sandpiper,Buff-breasted Sandpiper,spp
3A3C62BC935BDA72,Buff-breasted Sandpiper,spp
ELEMENT_GLOBAL.2.104714,Bufflehead,spp
Bucephala albeola,Bufflehead,spp
Bucephala albeola,Bufflehead,spp
Bufflehead,Bufflehead,spp
FB7383856D0DB2EA,Bufflehead,spp
Icterus bullockii,Bullock's Oriole,spp
Icterus bullockii,Bullock's Oriole,spp
Bullock's Oriole,Bullock's Oriole,spp
7E65A952009BFD5F,Bullock's Oriole,spp
Bulweria bulwerii,Bulwer's Petrel,spp
Bulweria bulwerii,Bulwer's Petrel,spp
Bulwer's Petrel,Bulwer's Petrel,spp
058773E4925D5D2E,Bulwer's Petrel,spp
Athene cunicularia,Burrowing Owl,spp
Athene cunicularia,Burrowing Owl,spp
Burrowing Owl,Burrowing Owl,spp
B9EE9676FFEC8B11,Burrowing Owl,spp
Branta hutchinsii,Cackling Goose,spp
Branta hutchinsii,Cackling Goose,spp
Cackling Goose,Cackling Goose,spp
60214D4970BA4158,Cackling Goose,spp
ELEMENT_GLOBAL.2.100812,California Gull,spp
Larus californicus,California Gull,spp
Larus californicus,California Gull,spp
California Gull,California Gull,spp
7FCE8A431E5E5ECB,California Gull,spp
Selasphorus calliope,Calliope Hummingbird,spp
Selasphorus calliope,Calliope Hummingbird,spp
Calliope Hummingbird,Calliope Hummingbird,spp
5816834EE9F3F70D,Calliope Hummingbird,spp
ELEMENT_GLOBAL.2.770965,Canada Goose,spp
Branta canadensis,Canada Goose,spp
Branta canadensis,Canada Goose,spp
Canada Goose,Canada Goose,spp
B59E18633E2EFD25,Canada Goose,spp
ELEMENT_GLOBAL.2.100725,Canada Warbler,spp
Cardellina canadensis,Canada Warbler,spp
Cardellina canadensis,Canada Warbler,spp
Canada Warbler,Canada Warbler,spp
F2D675AFB11EEEFF,Canada Warbler,spp
ELEMENT_GLOBAL.2.105229,Canvasback,spp
Aythya valisineria,Canvasback,spp
Aythya valisineria,Canvasback,spp
Canvasback,Canvasback,spp
1929E1E16E073570,Canvasback,spp
Cape Fear Arch Conservation Collaboration,Cape Fear Arch Conservation Collaboration,org
CFACC,Cape Fear Arch Conservation Collaboration,org
ELEMENT_GLOBAL.2.102913,Cape May Warbler,spp
Setophaga tigrina,Cape May Warbler,spp
Setophaga tigrina,Cape May Warbler,spp
Cape May Warbler,Cape May Warbler,spp
DB20CB6B0A720B90,Cape May Warbler,spp
Calonectris edwardsii,Cape Verde Shearwater,spp
Cape Verde Shearwater,Cape Verde Shearwater,spp
D6AB20A5DC3C2649,Cape Verde Shearwater,spp
Carolina Bird Club,Carolina Bird Club,org
CBC,Carolina Bird Club,org
ELEMENT_GLOBAL.2.102434,Carolina Chickadee,spp
Poecile carolinensis,Carolina Chickadee,spp
Poecile carolinensis,Carolina Chickadee,spp
Carolina Chickadee,Carolina Chickadee,spp
F941AAD38D7BA54D,Carolina Chickadee,spp
Conuropsis carolinensis,Carolina Parakeet,spp
Carolina Parakeet,Carolina Parakeet,spp
90002523402DE0BF,Carolina Parakeet,spp
ELEMENT_GLOBAL.2.106550,Carolina Wren,spp
Thryothorus ludovicianus,Carolina Wren,spp
Thryothorus ludovicianus,Carolina Wren,spp
Carolina Wren,Carolina Wren,spp
CB5469E1211E7EFF,Carolina Wren,spp
ELEMENT_GLOBAL.2.104635,Caspian Tern,spp
Hydroprogne caspia,Caspian Tern,spp
Hydroprogne caspia,Caspian Tern,spp
Caspian Tern,Caspian Tern,spp
BC06BC0D1056BC7B,Caspian Tern,spp
Peucaea cassinii,Cassin's Sparrow,spp
Peucaea cassinii,Cassin's Sparrow,spp
Cassin's Sparrow,Cassin's Sparrow,spp
B58AFD6EE6337146,Cassin's Sparrow,spp
Catawba College,Catawba College,org
ELEMENT_GLOBAL.2.105970,Cattle Egret,spp
Bubulcus ibis,Cattle Egret,spp
Bubulcus ibis,Cattle Egret,spp
Cattle Egret,Cattle Egret,spp
6CCDAC53F56435B4,Cattle Egret,spp
ELEMENT_GLOBAL.2.104728,Cave Swallow,spp
Petrochelidon fulva,Cave Swallow,spp
Petrochelidon fulva,Cave Swallow,spp
Cave Swallow,Cave Swallow,spp
79A1EDEC9657AA3C,Cave Swallow,spp
ELEMENT_GLOBAL.2.102435,Cedar Waxwing,spp
Bombycilla cedrorum,Cedar Waxwing,spp
Bombycilla cedrorum,Cedar Waxwing,spp
Cedar Waxwing,Cedar Waxwing,spp
9437D635FF4E2607,Cedar Waxwing,spp
CCB,Center for Conservation Biology,org
Center for Conservation Biology,Center for Conservation Biology,org
ELEMENT_GLOBAL.2.101759,Cerulean Warbler,spp
Setophaga cerulea,Cerulean Warbler,spp
Setophaga cerulea,Cerulean Warbler,spp
Cerulean Warbler,Cerulean Warbler,spp
